rank	city	state	pop2012	pop2013
548	Inglewood	California	111163	111542
549	San Buenaventura (Ventura)	California	108450	108817
550	Redlands	California	69763	69999
551	Albuquerque	New Mexico	554621	556495
552	Tracy	California	84406	84691
553	Wichita Falls	Texas	104546	104898
554	Bloomington	Minnesota	86030	86319
555	Kingsport	Tennessee	52785	52962
556	Burlington	North Carolina	51338	51510
557	Westminster	California	91433	91739
558	Albany	Oregon	51412	51583
559	Bridgeport	Connecticut	146728	147216
560	Alhambra	California	84298	84577
561	Montebello	California	63288	63495
562	Wilmington	Delaware	71292	71525
563	Wichita	Kansas	385316	386552
564	Birmingham	Alabama	211441	212113
565	Syracuse	New York	144212	144669
566	Pico Rivera	California	63574	63771
567	Arlington Heights village	Illinois	75763	75994
568	San Bernardino	California	213062	213708
569	South Gate	California	95392	95677
570	New Brunswick	New Jersey	55666	55831
571	Stockton	California	297239	298118
572	Long Beach	California	468054	469428
573	Milford city (balance)	Connecticut	51493	51644
574	Philadelphia	Pennsylvania	1548647	1553165
575	Lakewood	Washington	58926	59097
576	Compton	California	97595	97877
577	Newark	New Jersey	277625	278427
578	Savannah	Georgia	142364	142772
579	New Bedford	Massachusetts	94807	95078
580	Coon Rapids	Minnesota	61926	62103
581	Bellflower	California	77375	77593
582	Yakima	Washington	93002	93257
583	Evanston	Illinois	75368	75570
584	Las Cruces	New Mexico	101060	101324
585	Muncie	Indiana	70137	70316
586	Pueblo	Colorado	107975	108249
587	Tinley Park village	Illinois	57138	57282
588	Tucson	Arizona	524801	526116
589	Cedar Rapids	Iowa	128109	128429
590	Cincinnati	Ohio	296785	297517
591	Yucaipa	California	52407	52536
592	Hoffman Estates village	Illinois	52271	52398
593	Longview	Texas	81246	81443
594	Carson	California	92378	92599
595	Oak Park village	Illinois	51942	52066
596	Schaumburg village	Illinois	74729	74907
597	Lodi	California	63194	63338
598	Chicago	Illinois	2712920	2718782
599	Abilene	Texas	119842	120099
600	Oshkosh	Wisconsin	66638	66778
601	Des Plaines	Illinois	58801	58918
602	Port Arthur	Texas	54029	54135
603	Eastvale	California	55084	55191
604	Taunton	Massachusetts	55969	56069
605	Chicopee	Massachusetts	55618	55717
606	Oak Lawn village	Illinois	56975	57073
607	Paterson	New Jersey	145711	145948
608	Portland	Maine	66218	66318
609	Evansville	Indiana	120129	120310
610	Kenner	Louisiana	66878	66975
611	Skokie village	Illinois	65085	65176
612	Springfield	Massachusetts	153489	153703
613	Aurora	Illinois	199701	199963
614	Milwaukee	Wisconsin	598402	599164
615	Worcester	Massachusetts	182312	182544
616	Waukegan	Illinois	88715	88826
617	Waukesha	Wisconsin	70933	71016
618	Mesquite	Texas	143317	143484
619	Anderson	Indiana	55607	55670
620	South Bend	Indiana	100794	100886
621	Waterloo	Iowa	68308	68366
622	Lake Havasu City	Arizona	52803	52844
623	Dayton	Ohio	143258	143355
624	Fort Smith	Arkansas	87591	87650
625	Manchester	New Hampshire	110313	110378
626	Norfolk	Virginia	246007	246139
627	West Allis	Wisconsin	60666	60697
628	Hampton	Virginia	136632	136699
629	Trenton	New Jersey	84308	84349
630	El Paso	Texas	674124	674433
631	Vineland	New Jersey	61025	61050
632	Warwick	Rhode Island	81940	81971
633	Cicero town	Illinois	84072	84103
634	Fall River	Massachusetts	88672	88697
635	Pawtucket	Rhode Island	71156	71172
636	Berwyn	Illinois	56750	56758
637	Bolingbrook village	Illinois	73927	73936
638	Green Bay	Wisconsin	104769	104779
639	Albany	New York	98417	98424
640	Mobile	Alabama	194888	194899
641	Bartlett	Tennessee	58223	58226
642	Lancaster	Pennsylvania	59322	59325
643	Independence	Missouri	117238	117240
644	Cranston	Rhode Island	80573	80566
645	Bristol	Connecticut	60582	60568
646	La Crosse	Wisconsin	51537	51522
647	Kokomo	Indiana	56912	56895
648	St. Joseph	Missouri	77177	77147
649	Racine	Wisconsin	78231	78199
650	Hamilton	Ohio	62284	62258
651	Baltimore	Maryland	622417	622104
652	Delano	California	52435	52403
653	Harlingen	Texas	65706	65665
654	Lorain	Ohio	63757	63710
655	Rochester	New York	210515	210358
656	Florissant	Missouri	52404	52363
657	Duluth	Minnesota	86200	86128
658	Springfield	Ohio	59413	59357
659	Bethlehem	Pennsylvania	75090	75018
660	Lansing	Michigan	114085	113972
661	Battle Creek	Michigan	51900	51848
662	Reading	Pennsylvania	87990	87893
663	Council Bluffs	Iowa	62039	61969
664	Pittsburgh	Pennsylvania	306189	305841
665	Hartford	Connecticut	125164	125017
666	Kenosha	Wisconsin	100011	99889
667	New Haven	Connecticut	130829	130660
668	Providence	Rhode Island	178247	177994
669	Grand Junction	Colorado	59868	59778
670	Springfield	Illinois	117184	117006
671	Allentown	Pennsylvania	118764	118577
672	New Britain	Connecticut	73055	72939
673	Buffalo	New York	259387	258959
674	Sioux City	Iowa	82598	82459
675	Memphis	Tennessee	654556	653450
676	Utica	New York	61918	61808
677	Folsom	California	73243	73098
678	Joliet	Illinois	148106	147806
679	Waterbury	Connecticut	109905	109676
680	Elyria	Ohio	54073	53956
681	St. Louis	Missouri	319112	318416
682	Schenectady	New York	66049	65902
683	Topeka	Kansas	127989	127679
684	Baton Rouge	Louisiana	230006	229426
685	Akron	Ohio	198622	198100
686	Meriden	Connecticut	60625	60456
687	Kettering	Ohio	56036	55870
688	Parma	Ohio	80671	80429
689	Cleveland	Ohio	391294	390113
690	West Haven	Connecticut	55214	55046
691	Terre Haute	Indiana	61212	61025
692	Augusta-Richmond County consolidated government (balance)	Georgia	197976	197350
693	Decatur	Alabama	56001	55816
694	Toledo	Ohio	283302	282313
695	Scranton	Pennsylvania	76073	75806
696	Tallahassee	Florida	187084	186411
697	Portsmouth	Virginia	96564	96205
698	Charleston	West Virginia	51014	50821
699	Rocky Mount	North Carolina	57181	56954
700	Lakewood	Ohio	51364	51143
701	Rockford	Illinois	150915	150251
702	Erie	Pennsylvania	101155	100671
703	Canton	Ohio	72892	72535
704	Clarksville	Tennessee	143145	142357
705	Manhattan	Kansas	56468	56143
706	Camden	New Jersey	77359	76903
707	Flint	Michigan	100412	99763
708	Livonia	Michigan	95848	95208
709	Pocatello	Idaho	54732	54350
710	Westland	Michigan	83182	82578
711	Taylor	Michigan	62307	61817
712	Dearborn Heights	Michigan	57072	56620
713	Decatur	Illinois	75308	74710
714	Dearborn	Michigan	96654	95884
715	Gary	Indiana	79085	78450
716	Hammond	Indiana	79609	78967
717	Shreveport	Louisiana	202066	200327
718	Jacksonville	North Carolina	69690	69079
719	Saginaw	Michigan	50763	50303
720	Youngstown	Ohio	65824	65184
721	Carson	Nevada	54616	54080
722	Yuma	Arizona	93013	91923
723	Macon	Georgia	91176	89981
724	Detroit	Michigan	698582	688701
725	Albany	Georgia	77280	76185
726	Lawton	Oklahoma	98548	97151
727	Jackson	Mississippi	175195	172638
728	Montgomery	Alabama	204573	201332
729	Valdosta	Georgia	57706	56481
999	Weatherford	Texas	26467	27021
999	Burlington	Vermont	42417	42284
999	Belleville	Illinois	43765	43765
